id,name_ko,bucket_id,bucket_ko,summary_ko,scene_ko,dialogue_1_ko,dialogue_2_ko,dialogue_3_ko,tags,tone,cash_delta,health_delta,mood_delta,fatigue_delta,image_needed
company_planning_02,이번 주 업무량 점검,planning,일정/업무 계획,이번 주 일정표가 생각보다 빽빽하다. 마감과 회의를 펼쳐놓고 과부하 구간을 찾는다.,"출근 후 사무실 자리에서 이번 주 업무량 점검 상황을 마주하고, 마감과 회의를 펼쳐놓고 과부하 구간을 찾는다 장면.",일단 지금 보이는 것부터 정리하자. 이번 주 일정표가 생각보다 빽빽하다,이번 주 업무량 점검 지금은 마감과 회의를 펼쳐놓고 과부하 구간을 찾는다,미리 조정할 일을 표시해둔다,"[""work"", ""planning"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_planning_03,긴급 요청 끼워넣기,planning,일정/업무 계획,새로 들어온 요청이 기존 계획을 밀어내려 한다. 영향 범위와 마감 시간을 따져 넣을 자리를 찾는다.,"출근 후 사무실 자리에서 긴급 요청 끼워넣기 상황을 마주하고, 영향 범위와 마감 시간을 따져 넣을 자리를 찾는다 장면.",일단 지금 보이는 것부터 정리하자. 새로 들어온 요청이 기존 계획을 밀어내려 한다,긴급 요청 끼워넣기 지금은 영향 범위와 마감 시간을 따져 넣을 자리를 찾는다,미룰 일 하나를 정하고 바로 공유한다,"[""work"", ""planning"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_planning_04,마감 지연 신호,planning,일정/업무 계획,계획한 속도로는 마감에 닿기 어려워 보인다. 남은 일을 더 작은 단위로 쪼개 현실적인 일정을 다시 잡는다.,"출근 후 사무실 자리에서 마감 지연 신호 상황을 마주하고, 남은 일을 더 작은 단위로 쪼개 현실적인 일정을 다시 잡는다 장면.",일단 지금 보이는 것부터 정리하자. 계획한 속도로는 마감에 닿기 어려워 보인다,마감 지연 신호 지금은 남은 일을 더 작은 단위로 쪼개 현실적인 일정을 다시 잡는다,늦기 전에 위험 신호를 보낸다,"[""work"", ""planning"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_planning_05,막힌 일 분리,planning,일정/업무 계획,하루 종일 붙잡아도 안 풀릴 일이 보인다. 내가 풀 일과 도움을 받아야 할 일을 나눈다.,"출근 후 사무실 자리에서 막힌 일 분리 상황을 마주하고, 내가 풀 일과 도움을 받아야 할 일을 나눈다 장면.",일단 지금 보이는 것부터 정리하자. 하루 종일 붙잡아도 안 풀릴 일이 보인다,막힌 일 분리 지금은 내가 풀 일과 도움을 받아야 할 일을 나눈다,질문 목록을 만들자 멈춘 시간이 움직인다,"[""work"", ""planning"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_planning_06,작업 단위 쪼개기,planning,일정/업무 계획,큰 업무 제목 하나가 너무 무겁게 느껴진다. 첫 화면에서 할 수 있는 작은 행동까지 쪼갠다.,"출근 후 사무실 자리에서 작업 단위 쪼개기 상황을 마주하고, 첫 화면에서 할 수 있는 작은 행동까지 쪼갠다 장면.",일단 지금 보이는 것부터 정리하자. 큰 업무 제목 하나가 너무 무겁게 느껴진다,작업 단위 쪼개기 지금은 첫 화면에서 할 수 있는 작은 행동까지 쪼갠다,시작할 수 있는 크기로 업무가 내려온다,"[""work"", ""planning"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_planning_07,팀 용량 확인,planning,일정/업무 계획,팀 전체가 이미 바쁜데 새 일이 들어왔다. 각자 들고 있는 마감과 병목을 확인한다.,"출근 후 사무실 자리에서 팀 용량 확인 상황을 마주하고, 각자 들고 있는 마감과 병목을 확인한다 장면.",일단 지금 보이는 것부터 정리하자. 팀 전체가 이미 바쁜데 새 일이 들어왔다,팀 용량 확인 지금은 각자 들고 있는 마감과 병목을 확인한다,무리한 약속을 피할 근거가 생긴다,"[""work"", ""planning"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_planning_08,의존 업무 추적,planning,일정/업무 계획,내 일이 다른 팀 결과를 기다리고 있다. 필요한 산출물과 약속된 시간을 다시 확인한다.,"출근 후 사무실 자리에서 의존 업무 추적 상황을 마주하고, 필요한 산출물과 약속된 시간을 다시 확인한다 장면.",일단 지금 보이는 것부터 정리하자. 내 일이 다른 팀 결과를 기다리고 있다,의존 업무 추적 지금은 필요한 산출물과 약속된 시간을 다시 확인한다,기다리는 동안 할 수 있는 준비 작업을 잡는다,"[""work"", ""planning"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_planning_09,캘린더 방어,planning,일정/업무 계획,회의가 빈 시간을 모두 잠식하려 한다. 집중 시간이 필요한 블록을 먼저 확보한다.,"출근 후 사무실 자리에서 캘린더 방어 상황을 마주하고, 집중 시간이 필요한 블록을 먼저 확보한다 장면.",일단 지금 보이는 것부터 정리하자. 회의가 빈 시간을 모두 잠식하려 한다,캘린더 방어 지금은 집중 시간이 필요한 블록을 먼저 확보한다,하루에 최소한의 숨 쉴 공간이 생긴다,"[""work"", ""planning"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_planning_10,퇴근 전 재정렬,planning,일정/업무 계획,하루가 끝나가는데 처리 못 한 일이 남았다. 내일 바로 이어갈 수 있게 상태와 다음 행동을 적는다.,"출근 후 사무실 자리에서 퇴근 전 재정렬 상황을 마주하고, 내일 바로 이어갈 수 있게 상태와 다음 행동을 적는다 장면.",일단 지금 보이는 것부터 정리하자. 하루가 끝나가는데 처리 못 한 일이 남았다,퇴근 전 재정렬 지금은 내일 바로 이어갈 수 있게 상태와 다음 행동을 적는다,미완료가 불안 대신 목록으로 바뀐다,"[""work"", ""planning"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_review_01,동료 초안 검토,review,검토/피드백,동료가 보낸 초안에 방향은 좋지만 빈틈이 보인다. 강점과 수정이 필요한 부분을 분리해서 댓글을 단다.,"출근 후 사무실 자리에서 동료 초안 검토 상황을 마주하고, 강점과 수정이 필요한 부분을 분리해서 댓글을 단다 장면.",집중해서 한 번에 흐름을 잡자. 동료가 보낸 초안에 방향은 좋지만 빈틈이 보인다,동료 초안 검토 지금은 강점과 수정이 필요한 부분을 분리해서 댓글을 단다,상대가 바로 고칠 수 있는 피드백으로 남긴다,"[""work"", ""review"", ""quality""]",focused,0,"[-3, -1]","[-6, -1]","[12, 22]",False
company_review_02,계약 문구 확인,review,검토/피드백,계약 문서의 작은 표현 하나가 나중에 문제가 될 수 있다. 애매한 문장을 표시하고 확인 질문을 붙인다.,"출근 후 사무실 자리에서 계약 문구 확인 상황을 마주하고, 애매한 문장을 표시하고 확인 질문을 붙인다 장면.",집중해서 한 번에 흐름을 잡자. 계약 문서의 작은 표현 하나가 나중에 문제가 될 수 있다,계약 문구 확인 지금은 애매한 문장을 표시하고 확인 질문을 붙인다,넘겨도 될 부분과 꼭 물어볼 부분이 갈린다,"[""work"", ""review"", ""quality""]",focused,0,"[-3, -1]","[-6, -1]","[12, 22]",False
company_review_03,예산 추정 검토,review,검토/피드백,예산 추정표가 너무 낙관적으로 보인다. 전제와 누락된 비용을 찾아 따로 표시한다.,"출근 후 사무실 자리에서 예산 추정 검토 상황을 마주하고, 전제와 누락된 비용을 찾아 따로 표시한다 장면.",집중해서 한 번에 흐름을 잡자. 예산 추정표가 너무 낙관적으로 보인다,예산 추정 검토 지금은 전제와 누락된 비용을 찾아 따로 표시한다,숫자가 조금 불편해졌지만 더 현실에 가까워진다,"[""work"", ""review"", ""quality""]",focused,0,"[-3, -1]","[-6, -1]","[12, 22]",False
company_review_04,디자인 제안 리뷰,review,검토/피드백,새 시안은 보기 좋지만 실제 사용 흐름이 걱정된다. 좋은 점을 먼저 적고 막힐 수 있는 지점을 짚는다.,"출근 후 사무실 자리에서 디자인 제안 리뷰 상황을 마주하고, 좋은 점을 먼저 적고 막힐 수 있는 지점을 짚는다 장면.",집중해서 한 번에 흐름을 잡자. 새 시안은 보기 좋지만 실제 사용 흐름이 걱정된다,디자인 제안 리뷰 지금은 좋은 점을 먼저 적고 막힐 수 있는 지점을 짚는다,감상이 아니라 판단 근거가 있는 리뷰가 된다,"[""work"", ""review"", ""quality""]",focused,0,"[-3, -1]","[-6, -1]","[12, 22]",False
company_review_05,배포 체크리스트 확인,review,검토/피드백,배포 전 체크리스트가 아직 모두 닫히지 않았다. 남은 항목의 위험도를 보고 우선순위를 정한다.,"출근 후 사무실 자리에서 배포 체크리스트 확인 상황을 마주하고, 남은 항목의 위험도를 보고 우선순위를 정한다 장면.",집중해서 한 번에 흐름을 잡자. 배포 전 체크리스트가 아직 모두 닫히지 않았다,배포 체크리스트 확인 지금은 남은 항목의 위험도를 보고 우선순위를 정한다,오늘 넘겨도 되는 것과 안 되는 것이 분명해진다,"[""work"", ""review"", ""quality""]",focused,0,"[-3, -1]","[-6, -1]","[12, 22]",False
company_review_06,리스크 메모 보강,review,검토/피드백,상황 보고서에 위험 요소가 너무 작게 적혀 있다. 발생 가능성과 영향도를 나눠 다시 적는다.,"출근 후 사무실 자리에서 리스크 메모 보강 상황을 마주하고, 발생 가능성과 영향도를 나눠 다시 적는다 장면.",집중해서 한 번에 흐름을 잡자. 상황 보고서에 위험 요소가 너무 작게 적혀 있다,리스크 메모 보강 지금은 발생 가능성과 영향도를 나눠 다시 적는다,읽는 사람이 바로 판단할 수 있는 문장이 된다,"[""work"", ""review"", ""quality""]",focused,0,"[-3, -1]","[-6, -1]","[12, 22]",False
company_review_07,고객 답변 검수,review,검토/피드백,고객에게 나갈 답변이라 표현 하나도 조심스럽다. 사실 관계와 약속 문구를 따로 확인한다.,"출근 후 사무실 자리에서 고객 답변 검수 상황을 마주하고, 사실 관계와 약속 문구를 따로 확인한다 장면.",집중해서 한 번에 흐름을 잡자. 고객에게 나갈 답변이라 표현 하나도 조심스럽다,고객 답변 검수 지금은 사실 관계와 약속 문구를 따로 확인한다,상대가 오해할 여지를 조금 덜어낸다,"[""work"", ""review"", ""quality""]",focused,0,"[-3, -1]","[-6, -1]","[12, 22]",False
company_review_08,프로세스 변경안 검토,review,검토/피드백,새 절차가 편해 보이지만 예외 상황이 빠져 있다. 반복될 실수와 책임 경계를 먼저 확인한다.,"출근 후 사무실 자리에서 프로세스 변경안 검토 상황을 마주하고, 반복될 실수와 책임 경계를 먼저 확인한다 장면.",집중해서 한 번에 흐름을 잡자. 새 절차가 편해 보이지만 예외 상황이 빠져 있다,프로세스 변경안 검토 지금은 반복될 실수와 책임 경계를 먼저 확인한다,변경안이 실제 현장에 조금 가까워진다,"[""work"", ""review"", ""quality""]",focused,0,"[-3, -1]","[-6, -1]","[12, 22]",False
company_review_09,최종 승인 전 확인,review,검토/피드백,승인 버튼이 보이지만 아직 찜찜한 부분이 있다. 필수 조건과 첨부를 마지막으로 대조한다.,"출근 후 사무실 자리에서 최종 승인 전 확인 상황을 마주하고, 필수 조건과 첨부를 마지막으로 대조한다 장면.",집중해서 한 번에 흐름을 잡자. 승인 버튼이 보이지만 아직 찜찜한 부분이 있다,최종 승인 전 확인 지금은 필수 조건과 첨부를 마지막으로 대조한다,확인한 근거를 남기고 승인한다,"[""work"", ""review"", ""quality""]",focused,0,"[-3, -1]","[-6, -1]","[12, 22]",False
company_review_10,동료 코드/작업 리뷰,review,검토/피드백,동료의 작업물이 거의 완성됐지만 작은 위험이 남았다. 재현 방법과 수정 제안을 함께 적는다.,"출근 후 사무실 자리에서 동료 코드/작업 리뷰 상황을 마주하고, 재현 방법과 수정 제안을 함께 적는다 장면.",집중해서 한 번에 흐름을 잡자. 동료의 작업물이 거의 완성됐지만 작은 위험이 남았다,동료 코드/작업 리뷰 지금은 재현 방법과 수정 제안을 함께 적는다,까다롭지만 도움이 되는 리뷰로 마무리한다,"[""work"", ""review"", ""quality""]",focused,0,"[-3, -1]","[-6, -1]","[12, 22]",False
company_customer_01,불만 문의 진정시키기,customer,고객/거래처 대응,고객 메시지에 불만이 선명하게 묻어 있다. 먼저 상황을 인정하고 확인 가능한 사실부터 정리한다.,"출근 후 사무실 자리에서 불만 문의 진정시키기 상황을 마주하고, 먼저 상황을 인정하고 확인 가능한 사실부터 정리한다 장면.",급해 보여도 순서부터 잡아야 해. 고객 메시지에 불만이 선명하게 묻어 있다,불만 문의 진정시키기 지금은 먼저 상황을 인정하고 확인 가능한 사실부터 정리한다,감정이 더 커지지 않게 답변 속도를 맞춘다,"[""work"", ""customer"", ""communication""]",tense,0,"[-5, -2]","[-9, -3]","[18, 28]",False
company_customer_02,납기 확인 답변,customer,고객/거래처 대응,거래처가 납기 가능 여부를 다시 묻는다. 현재 처리 단계와 지연 가능성을 내부에서 확인한다.,"출근 후 사무실 자리에서 납기 확인 답변 상황을 마주하고, 현재 처리 단계와 지연 가능성을 내부에서 확인한다 장면.",급해 보여도 순서부터 잡아야 해. 거래처가 납기 가능 여부를 다시 묻는다,납기 확인 답변 지금은 현재 처리 단계와 지연 가능성을 내부에서 확인한다,가능한 범위 안에서 확실한 답만 보낸다,"[""work"", ""customer"", ""communication""]",tense,0,"[-5, -2]","[-9, -3]","[18, 28]",False
company_customer_03,견적 조정 요청,customer,고객/거래처 대응,상대가 견적 조건을 조금 더 낮출 수 있는지 묻는다. 조정 가능한 항목과 건드리면 안 되는 기준을 나눈다.,"출근 후 사무실 자리에서 견적 조정 요청 상황을 마주하고, 조정 가능한 항목과 건드리면 안 되는 기준을 나눈다 장면.",급해 보여도 순서부터 잡아야 해. 상대가 견적 조건을 조금 더 낮출 수 있는지 묻는다,견적 조정 요청 지금은 조정 가능한 항목과 건드리면 안 되는 기준을 나눈다,애매한 할인 대신 선택지를 제안한다,"[""work"", ""customer"", ""communication""]",tense,0,"[-5, -2]","[-9, -3]","[18, 28]",False
company_customer_04,지원 요청 원인 파악,customer,고객/거래처 대응,문제 화면만 캡처되어 있고 원인이 보이지 않는다. 발생 시간과 사용 환경을 되물으며 단서를 모은다.,"출근 후 사무실 자리에서 지원 요청 원인 파악 상황을 마주하고, 발생 시간과 사용 환경을 되물으며 단서를 모은다 장면.",급해 보여도 순서부터 잡아야 해. 문제 화면만 캡처되어 있고 원인이 보이지 않는다,지원 요청 원인 파악 지금은 발생 시간과 사용 환경을 되물으며 단서를 모은다,추측 대신 확인할 수 있는 질문을 남긴다,"[""work"", ""customer"", ""communication""]",tense,0,"[-5, -2]","[-9, -3]","[18, 28]",False
company_customer_05,진행 상황 공유,customer,고객/거래처 대응,상대가 기다리는 일이 아직 끝나지 않았다. 완료된 단계와 남은 단계를 짧게 정리한다.,"출근 후 사무실 자리에서 진행 상황 공유 상황을 마주하고, 완료된 단계와 남은 단계를 짧게 정리한다 장면.",급해 보여도 순서부터 잡아야 해. 상대가 기다리는 일이 아직 끝나지 않았다,진행 상황 공유 지금은 완료된 단계와 남은 단계를 짧게 정리한다,기다림이 막연하지 않게 다음 시간을 알려준다,"[""work"", ""customer"", ""communication""]",tense,0,"[-5, -2]","[-9, -3]","[18, 28]",False
company_customer_06,반복 문의 답변 정리,customer,고객/거래처 대응,비슷한 질문이 여러 고객에게서 들어온다. 공통 답변을 만들고 예외 조건만 따로 둔다.,"출근 후 사무실 자리에서 반복 문의 답변 정리 상황을 마주하고, 공통 답변을 만들고 예외 조건만 따로 둔다 장면.",급해 보여도 순서부터 잡아야 해. 비슷한 질문이 여러 고객에게서 들어온다,반복 문의 답변 정리 지금은 공통 답변을 만들고 예외 조건만 따로 둔다,복붙이 아니라 일관된 안내문이 된다,"[""work"", ""customer"", ""communication""]",tense,0,"[-5, -2]","[-9, -3]","[18, 28]",False
company_customer_07,내부 확인 요청,customer,고객/거래처 대응,고객 질문에 혼자 답하기 어려운 부분이 있다. 담당 팀에 필요한 정보만 추려 확인을 요청한다.,"출근 후 사무실 자리에서 내부 확인 요청 상황을 마주하고, 담당 팀에 필요한 정보만 추려 확인을 요청한다 장면.",급해 보여도 순서부터 잡아야 해. 고객 질문에 혼자 답하기 어려운 부분이 있다,내부 확인 요청 지금은 담당 팀에 필요한 정보만 추려 확인을 요청한다,답변 지연을 줄이기 위해 질문을 좁힌다,"[""work"", ""customer"", ""communication""]",tense,0,"[-5, -2]","[-9, -3]","[18, 28]",False
company_customer_08,기대치 재설정,customer,고객/거래처 대응,상대가 가능한 범위보다 큰 결과를 기대하고 있다. 할 수 있는 것과 어려운 것을 분명하게 나눠 설명한다.,"출근 후 사무실 자리에서 기대치 재설정 상황을 마주하고, 할 수 있는 것과 어려운 것을 분명하게 나눠 설명한다 장면.",급해 보여도 순서부터 잡아야 해. 상대가 가능한 범위보다 큰 결과를 기대하고 있다,기대치 재설정 지금은 할 수 있는 것과 어려운 것을 분명하게 나눠 설명한다,거절처럼 들리지 않게 대안을 붙인다,"[""work"", ""customer"", ""communication""]",tense,0,"[-5, -2]","[-9, -3]","[18, 28]",False
company_customer_09,긴급 요청 처리,customer,고객/거래처 대응,긴급 표시가 붙은 요청이 업무 흐름을 끊고 들어온다. 정말 긴급한지 영향 범위부터 확인한다.,"출근 후 사무실 자리에서 긴급 요청 처리 상황을 마주하고, 정말 긴급한지 영향 범위부터 확인한다 장면.",급해 보여도 순서부터 잡아야 해. 긴급 표시가 붙은 요청이 업무 흐름을 끊고 들어온다,긴급 요청 처리 지금은 정말 긴급한지 영향 범위부터 확인한다,필요하면 기존 업무 순서를 바꾸고 기록을 남긴다,"[""work"", ""customer"", ""communication""]",tense,0,"[-5, -2]","[-9, -3]","[18, 28]",False
company_customer_10,감사 회신 마무리,customer,고객/거래처 대응,고객이 고맙다는 답장을 보내왔다. 짧게 감사 인사를 돌려주고 다음 절차를 안내한다.,"출근 후 사무실 자리에서 감사 회신 마무리 상황을 마주하고, 짧게 감사 인사를 돌려주고 다음 절차를 안내한다 장면.",급해 보여도 순서부터 잡아야 해. 고객이 고맙다는 답장을 보내왔다,감사 회신 마무리 지금은 짧게 감사 인사를 돌려주고 다음 절차를 안내한다,좋은 마무리가 다음 일의 출발점이 된다,"[""work"", ""customer"", ""communication""]",tense,0,"[-5, -2]","[-9, -3]","[18, 28]",False
company_handoff_01,휴가 전 인수인계,handoff,협업/인수인계,내가 자리를 비우는 동안 멈추면 안 되는 일이 있다. 현재 상태와 다음 판단 기준을 문서로 남긴다.,"출근 후 사무실 자리에서 휴가 전 인수인계 상황을 마주하고, 현재 상태와 다음 판단 기준을 문서로 남긴다 장면.",일단 지금 보이는 것부터 정리하자. 내가 자리를 비우는 동안 멈추면 안 되는 일이 있다,휴가 전 인수인계 지금은 현재 상태와 다음 판단 기준을 문서로 남긴다,대신 볼 사람이 덜 불안하도록 링크를 정리한다,"[""work"", ""collaboration"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_handoff_02,공유 문서 기준 맞추기,handoff,협업/인수인계,팀원마다 다른 문서를 보고 있어 말이 엇갈린다. 공식 문서 하나를 정하고 오래된 링크를 닫는다.,"출근 후 사무실 자리에서 공유 문서 기준 맞추기 상황을 마주하고, 공식 문서 하나를 정하고 오래된 링크를 닫는다 장면.",일단 지금 보이는 것부터 정리하자. 팀원마다 다른 문서를 보고 있어 말이 엇갈린다,공유 문서 기준 맞추기 지금은 공식 문서 하나를 정하고 오래된 링크를 닫는다,같은 화면을 보게 되자 논의가 빨라진다,"[""work"", ""collaboration"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_handoff_03,담당자 불명 업무 정리,handoff,협업/인수인계,작업 보드에 주인 없는 카드가 남아 있다. 업무 성격과 관련 팀을 보고 임시 담당자를 정한다.,"출근 후 사무실 자리에서 담당자 불명 업무 정리 상황을 마주하고, 업무 성격과 관련 팀을 보고 임시 담당자를 정한다 장면.",일단 지금 보이는 것부터 정리하자. 작업 보드에 주인 없는 카드가 남아 있다,담당자 불명 업무 정리 지금은 업무 성격과 관련 팀을 보고 임시 담당자를 정한다,공중에 뜬 일이 누군가의 목록으로 내려온다,"[""work"", ""collaboration"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_handoff_04,타팀 의존사항 전달,handoff,협업/인수인계,우리 일이 다른 팀의 결과를 기다리고 있다. 필요한 산출물과 마감 이유를 짧게 설명한다.,"출근 후 사무실 자리에서 타팀 의존사항 전달 상황을 마주하고, 필요한 산출물과 마감 이유를 짧게 설명한다 장면.",일단 지금 보이는 것부터 정리하자. 우리 일이 다른 팀의 결과를 기다리고 있다,타팀 의존사항 전달 지금은 필요한 산출물과 마감 이유를 짧게 설명한다,부탁이 아니라 일정 관리로 전달한다,"[""work"", ""collaboration"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_handoff_05,신입 동료 안내,handoff,협업/인수인계,새로 온 동료가 어디서부터 봐야 할지 몰라 한다. 자주 쓰는 문서와 주의할 업무 흐름을 묶어준다.,"출근 후 사무실 자리에서 신입 동료 안내 상황을 마주하고, 자주 쓰는 문서와 주의할 업무 흐름을 묶어준다 장면.",일단 지금 보이는 것부터 정리하자. 새로 온 동료가 어디서부터 봐야 할지 몰라 한다,신입 동료 안내 지금은 자주 쓰는 문서와 주의할 업무 흐름을 묶어준다,처음 보는 길에 표지판이 몇 개 생긴다,"[""work"", ""collaboration"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_handoff_06,영업 요청 내부 연결,handoff,협업/인수인계,영업팀 요청이 기술 설명까지 필요해졌다. 고객 요구와 내부 확인 포인트를 분리해 전달한다.,"출근 후 사무실 자리에서 영업 요청 내부 연결 상황을 마주하고, 고객 요구와 내부 확인 포인트를 분리해 전달한다 장면.",일단 지금 보이는 것부터 정리하자. 영업팀 요청이 기술 설명까지 필요해졌다,영업 요청 내부 연결 지금은 고객 요구와 내부 확인 포인트를 분리해 전달한다,서로 다른 언어가 같은 업무로 번역된다,"[""work"", ""collaboration"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_handoff_07,디자인-개발 동기화,handoff,협업/인수인계,디자인 변경이 개발 일정에 영향을 줄 수 있다. 바뀐 화면과 유지되는 조건을 함께 확인한다.,"출근 후 사무실 자리에서 디자인-개발 동기화 상황을 마주하고, 바뀐 화면과 유지되는 조건을 함께 확인한다 장면.",일단 지금 보이는 것부터 정리하자. 디자인 변경이 개발 일정에 영향을 줄 수 있다,디자인-개발 동기화 지금은 바뀐 화면과 유지되는 조건을 함께 확인한다,뒤늦은 충돌을 막기 위해 기준을 맞춘다,"[""work"", ""collaboration"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_handoff_08,상태 보드 청소,handoff,협업/인수인계,완료된 카드와 멈춘 카드가 보드에 뒤섞여 있다. 끝난 일은 닫고 막힌 일에는 이유를 붙인다.,"출근 후 사무실 자리에서 상태 보드 청소 상황을 마주하고, 끝난 일은 닫고 막힌 일에는 이유를 붙인다 장면.",일단 지금 보이는 것부터 정리하자. 완료된 카드와 멈춘 카드가 보드에 뒤섞여 있다,상태 보드 청소 지금은 끝난 일은 닫고 막힌 일에는 이유를 붙인다,보드가 현재 상황을 다시 말하기 시작한다,"[""work"", ""collaboration"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_handoff_09,보고 라인 정리,handoff,협업/인수인계,문제가 생겼을 때 누구에게 올려야 할지 애매하다. 판단 기준과 연락 순서를 간단히 정리한다.,"출근 후 사무실 자리에서 보고 라인 정리 상황을 마주하고, 판단 기준과 연락 순서를 간단히 정리한다 장면.",일단 지금 보이는 것부터 정리하자. 문제가 생겼을 때 누구에게 올려야 할지 애매하다,보고 라인 정리 지금은 판단 기준과 연락 순서를 간단히 정리한다,다음에는 덜 헤매도록 길을 만들어둔다,"[""work"", ""collaboration"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_handoff_10,마무리 확인 메시지,handoff,협업/인수인계,공동 작업이 끝났지만 마지막 확인이 남아 있다. 누가 무엇을 끝냈는지 짧게 체크한다.,"출근 후 사무실 자리에서 마무리 확인 메시지 상황을 마주하고, 누가 무엇을 끝냈는지 짧게 체크한다 장면.",일단 지금 보이는 것부터 정리하자. 공동 작업이 끝났지만 마지막 확인이 남아 있다,마무리 확인 메시지 지금은 누가 무엇을 끝냈는지 짧게 체크한다,완료 메시지를 보내고 열린 고리를 닫는다,"[""work"", ""collaboration"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_operations_01,일일 처리 큐 시작,operations,운영/반복 처리,업무 시스템에 오늘 처리할 건들이 줄지어 있다. 마감이 빠른 건과 단순 처리 건을 나눠 시작한다.,"출근 후 사무실 자리에서 일일 처리 큐 시작 상황을 마주하고, 마감이 빠른 건과 단순 처리 건을 나눠 시작한다 장면.",일단 지금 보이는 것부터 정리하자. 업무 시스템에 오늘 처리할 건들이 줄지어 있다,일일 처리 큐 시작 지금은 마감이 빠른 건과 단순 처리 건을 나눠 시작한다,첫 묶음을 넘기자 속도가 붙는다,"[""work"", ""operations"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_operations_02,이상 케이스 분리,operations,운영/반복 처리,평소와 다른 조건의 요청들이 일반 큐에 섞여 있다. 자동 처리하면 위험한 건을 따로 빼낸다.,"출근 후 사무실 자리에서 이상 케이스 분리 상황을 마주하고, 자동 처리하면 위험한 건을 따로 빼낸다 장면.",일단 지금 보이는 것부터 정리하자. 평소와 다른 조건의 요청들이 일반 큐에 섞여 있다,이상 케이스 분리 지금은 자동 처리하면 위험한 건을 따로 빼낸다,예외를 분리하자 나머지는 빠르게 흘러간다,"[""work"", ""operations"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_operations_03,상태값 일괄 변경,operations,운영/반복 처리,처리된 건들이 아직 이전 상태로 남아 있다. 변경 조건을 다시 확인하고 일괄 업데이트를 준비한다.,"출근 후 사무실 자리에서 상태값 일괄 변경 상황을 마주하고, 변경 조건을 다시 확인하고 일괄 업데이트를 준비한다 장면.",일단 지금 보이는 것부터 정리하자. 처리된 건들이 아직 이전 상태로 남아 있다,상태값 일괄 변경 지금은 변경 조건을 다시 확인하고 일괄 업데이트를 준비한다,한 번에 바꾸기 전 샘플 몇 개를 먼저 본다,"[""work"", ""operations"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_operations_04,승인 대기 목록 정리,operations,운영/반복 처리,승인 대기 건이 오래 쌓여 병목이 생겼다. 담당자와 지연 일수를 기준으로 목록을 나눈다.,"출근 후 사무실 자리에서 승인 대기 목록 정리 상황을 마주하고, 담당자와 지연 일수를 기준으로 목록을 나눈다 장면.",일단 지금 보이는 것부터 정리하자. 승인 대기 건이 오래 쌓여 병목이 생겼다,승인 대기 목록 정리 지금은 담당자와 지연 일수를 기준으로 목록을 나눈다,오래 멈춘 건부터 확인 요청을 보낸다,"[""work"", ""operations"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_operations_05,운영 현황 점검,operations,운영/반복 처리,오늘 운영 지표가 평소보다 느리게 움직인다. 처리량과 대기량을 비교해 막힌 구간을 찾는다.,"출근 후 사무실 자리에서 운영 현황 점검 상황을 마주하고, 처리량과 대기량을 비교해 막힌 구간을 찾는다 장면.",일단 지금 보이는 것부터 정리하자. 오늘 운영 지표가 평소보다 느리게 움직인다,운영 현황 점검 지금은 처리량과 대기량을 비교해 막힌 구간을 찾는다,문제가 생기기 전에 작은 경고를 남긴다,"[""work"", ""operations"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
